"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"74","Teams in Indonesia have discovered gas at our Andaman II block, where we have a 30% interest w/@HarbourEnergy. Furt… https://t.co/G6A4Ujvci5",FALSE,18,NA,2022-08-11 09:00:09,TRUE,NA,"1557653083672530945",NA,"<a href=""https://twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>","bp_plc",5,FALSE,FALSE,NA,NA
"75","Today we share our 2Q results. We continue to work hard to provide the oil and gas the world needs now, while at th… https://t.co/4KbYQf9QVa",FALSE,55,NA,2022-08-02 06:02:36,TRUE,NA,"1554346911771017216",NA,"<a href=""https://twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>","bp_plc",20,FALSE,FALSE,NA,NA
"76","@westernexplorer Hi Richard, we see both blue and green hydrogen playing a part in our plans for Teesside. We’re pl… https://t.co/rQPvFkZR93",FALSE,0,"westernexplorer",2022-07-29 10:38:28,TRUE,"1552303587820294144","1552966783220457472","67119104","<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>","bp_plc",0,FALSE,FALSE,NA,NA
"77","We're planning to<U+2B06><U+FE0F>our low carbon portfolio in <U+0001F1EA><U+0001F1F8><U+0001F1F5><U+0001F1F9><U+0001F1EC><U+0001F1E7>, teaming up w/@Iberdrola_en to help decarbonize transport &amp; i… https://t.co/Af28CsHgaQ",FALSE,32,NA,2022-07-28 10:07:10,TRUE,NA,"1552596519416651777",NA,"<a href=""https://twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>","bp_plc",15,FALSE,FALSE,NA,NA
"78","Electric trucks seemed unthinkable a few years ago, but by teaming up with fellow innovators @DaimlerTruck, we're b… https://t.co/hkN5je1zDk",FALSE,18,NA,2022-07-27 08:52:08,TRUE,NA,"1552215246219235328",NA,"<a href=""https://twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>","bp_plc",6,FALSE,FALSE,NA,NA
"79","@do_unite We believe there is no single solution to the energy transition. Hydrogen has potentially significant use… https://t.co/T3A2Ph2rrm",FALSE,0,"do_unite",2022-07-25 15:28:55,TRUE,"1551215849163341827","1551590326699163648","1205818686998753280","<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>","bp_plc",0,FALSE,FALSE,NA,NA
"80","@TBlighe Hi Tony. Our green hydrogen facility will produce hydrogen through the electrolysis of water while our CCU… https://t.co/XKUbmNSLOZ",FALSE,0,"TBlighe",2022-07-21 09:19:57,TRUE,"1549530617431326721","1550047919017017344","736369873211789316","<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>","bp_plc",0,FALSE,FALSE,NA,NA
"81","@speakerengine We believe biofuels have a significant role in decarbonising the transport sector. We recently took… https://t.co/GhG3cTEvjA",FALSE,0,"speakerengine",2022-07-20 11:47:08,TRUE,"1549257270411804673","1549722571842719745","147332120","<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>","bp_plc",0,FALSE,FALSE,NA,NA
"82","@Jemz8 Hi Jemma, we're sorry to hear that. Are you able to send us a DM with more information on this? ^Ross",FALSE,0,"Jemz8",2022-07-20 11:03:46,FALSE,"1549710006978846720","1549711659685527553","23450728","<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>","bp_plc",0,FALSE,FALSE,NA,NA
"83","@Curious_Cola Hi there, bp pulse (our EV charging business) is investing £1billion in EV charging in the UK over th… https://t.co/LmojQwUFga",FALSE,0,"Curious_Cola",2022-07-20 08:58:42,TRUE,"1549481909075546114","1549680186429476864","1536433733615685637","<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>","bp_plc",0,FALSE,FALSE,NA,NA
"84","@BuckCllr Hi Kevin, bp pulse (our EV charging business) is investing £1billion in EV charging in the UK over the ne… https://t.co/IOpTjVUvRt",FALSE,0,"BuckCllr",2022-07-18 16:33:40,TRUE,"1548244832782393344","1549069905894559753","1172988150521716737","<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>","bp_plc",0,FALSE,FALSE,NA,NA
"85","@SConwaySmith Hi Simon, we’re not getting out of oil &amp; gas, but we plan to scale down our investment. In 2030 we se… https://t.co/e858iac6A2",FALSE,1,"SConwaySmith",2022-07-14 15:30:21,TRUE,"1547339547880603648","1547604420224905217","296915285","<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>","bp_plc",0,FALSE,FALSE,NA,NA
"86","@NakedWookieeUK Hi there, we’re not getting out of oil &amp; gas, but we plan to scale down our investment. In 2030 we… https://t.co/Nu1nmeIhUJ",FALSE,1,"NakedWookieeUK",2022-07-13 14:53:17,TRUE,"1546670066850271232","1547232702545465344","107625265","<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>","bp_plc",0,FALSE,FALSE,NA,NA
"87","@iluyimbazi Hi Ivan, thank you for getting in touch about this. Can you please send us a DM with your BPme account… https://t.co/TDYnHc35BA",FALSE,0,"iluyimbazi",2022-07-13 09:39:45,TRUE,"1547061949531291650","1547153798975700993","349520924","<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>","bp_plc",0,FALSE,FALSE,NA,NA
"88","In collaboration with @thyssenkrupp Steel, we’re exploring options to supply low carbon hydrogen and renewable powe… https://t.co/td81Ua5dQb",FALSE,15,NA,2022-07-11 09:49:21,TRUE,NA,"1546431442569265159",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","bp_plc",3,FALSE,FALSE,NA,NA
"89","@FrancescaBicke1 Hi there, thanks for your interest. You can explore all our current opportunities at https://t.co/U9XeDXQdph",FALSE,1,"FrancescaBicke1",2022-07-05 09:28:27,FALSE,"1544000377825148929","1544251852371492864","737280695052185600","<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Publishing</a>","bp_plc",0,FALSE,FALSE,NA,NA
"90","@AlpineF1Team <U+0001F308><U+0001F3CE>",FALSE,0,"AlpineF1Team",2022-07-01 11:10:47,FALSE,"1542810242081325056","1542828055944728580","28297965","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","bp_plc",0,FALSE,FALSE,NA,NA
"91","To round off #PrideMonth, we've worked with @AlpineF1Team team to change our livery on their cars to a rainbow… https://t.co/vCIV4XnJN0",FALSE,14,NA,2022-07-01 10:17:03,TRUE,NA,"1542814531570864128",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","bp_plc",0,FALSE,FALSE,NA,NA
